#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|label


#Text=Company DescriptionFuzz develops web, social media, and mobile applications for some of the worlds most recognizable brands.
1-1	0-7	Company	_	
1-2	8-23	DescriptionFuzz	_	
1-3	24-32	develops	_	
1-4	33-36	web	_	
1-5	36-37	,	_	
1-6	38-44	social	_	
1-7	45-50	media	_	
1-8	50-51	,	_	
1-9	52-55	and	_	
1-10	56-62	mobile	_	
1-11	63-75	applications	_	
1-12	76-79	for	_	
1-13	80-84	some	_	
1-14	85-87	of	_	
1-15	88-91	the	_	
1-16	92-98	worlds	_	
1-17	99-103	most	_	
1-18	104-116	recognizable	_	
1-19	117-123	brands	_	
1-20	123-124	.	_	

#Text=Our employees are highly creative and motivated professionals who thrive in our collaborative and innovative workplace culture...We are looking to build a new office in Boulder and are hoping to fill it with a talented team of developers and designers, our goal for this office is to provide more development capacity and expand our reach into new areas.
2-1	125-128	Our	_	
2-2	129-138	employees	_	
2-3	139-142	are	_	
2-4	143-149	highly	_	
2-5	150-158	creative	_	
2-6	159-162	and	_	
2-7	163-172	motivated	_	
2-8	173-186	professionals	_	
2-9	187-190	who	_	
2-10	191-197	thrive	_	
2-11	198-200	in	_	
2-12	201-204	our	_	
2-13	205-218	collaborative	Soft Skill	
2-14	219-222	and	_	
2-15	223-233	innovative	_	
2-16	234-243	workplace	_	
2-17	244-251	culture	_	
2-18	251-252	.	_	
2-19	252-253	.	_	
2-20	253-254	.	_	
2-21	254-256	We	_	
2-22	257-260	are	_	
2-23	261-268	looking	_	
2-24	269-271	to	_	
2-25	272-277	build	_	
2-26	278-279	a	_	
2-27	280-283	new	_	
2-28	284-290	office	_	
2-29	291-293	in	_	
2-30	294-301	Boulder	_	
2-31	302-305	and	_	
2-32	306-309	are	_	
2-33	310-316	hoping	_	
2-34	317-319	to	_	
2-35	320-324	fill	_	
2-36	325-327	it	_	
2-37	328-332	with	_	
2-38	333-334	a	_	
2-39	335-343	talented	_	
2-40	344-348	team	_	
2-41	349-351	of	_	
2-42	352-362	developers	_	
2-43	363-366	and	_	
2-44	367-376	designers	_	
2-45	376-377	,	_	
2-46	378-381	our	_	
2-47	382-386	goal	_	
2-48	387-390	for	_	
2-49	391-395	this	_	
2-50	396-402	office	_	
2-51	403-405	is	_	
2-52	406-408	to	_	
2-53	409-416	provide	_	
2-54	417-421	more	_	
2-55	422-433	development	_	
2-56	434-442	capacity	_	
2-57	443-446	and	_	
2-58	447-453	expand	_	
2-59	454-457	our	_	
2-60	458-463	reach	_	
2-61	464-468	into	_	
2-62	469-472	new	_	
2-63	473-478	areas	_	
2-64	478-479	.	_	

#Text=For the interim we are renting desk space until we find good location for an office and have a feeling for its needed size.Job DescriptionFuzz is looking for an iOS Developer to join our development team.
3-1	480-483	For	_	
3-2	484-487	the	_	
3-3	488-495	interim	_	
3-4	496-498	we	_	
3-5	499-502	are	_	
3-6	503-510	renting	_	
3-7	511-515	desk	_	
3-8	516-521	space	_	
3-9	522-527	until	_	
3-10	528-530	we	_	
3-11	531-535	find	_	
3-12	536-540	good	_	
3-13	541-549	location	_	
3-14	550-553	for	_	
3-15	554-556	an	_	
3-16	557-563	office	_	
3-17	564-567	and	_	
3-18	568-572	have	_	
3-19	573-574	a	_	
3-20	575-582	feeling	_	
3-21	583-586	for	_	
3-22	587-590	its	_	
3-23	591-597	needed	_	
3-24	598-606	size.Job	_	
3-25	607-622	DescriptionFuzz	_	
3-26	623-625	is	_	
3-27	626-633	looking	_	
3-28	634-637	for	_	
3-29	638-640	an	_	
3-30	641-644	iOS	_	
3-31	645-654	Developer	_	
3-32	655-657	to	_	
3-33	658-662	join	_	
3-34	663-666	our	_	
3-35	667-678	development	_	
3-36	679-683	team	_	
3-37	683-684	.	_	

#Text=We work with clients from the largest corporations all the way down to the single individuals with a dream for an App.
4-1	685-687	We	_	
4-2	688-692	work	_	
4-3	693-697	with	_	
4-4	698-705	clients	_	
4-5	706-710	from	_	
4-6	711-714	the	_	
4-7	715-722	largest	_	
4-8	723-735	corporations	_	
4-9	736-739	all	_	
4-10	740-743	the	_	
4-11	744-747	way	_	
4-12	748-752	down	_	
4-13	753-755	to	_	
4-14	756-759	the	_	
4-15	760-766	single	_	
4-16	767-778	individuals	_	
4-17	779-783	with	_	
4-18	784-785	a	_	
4-19	786-791	dream	_	
4-20	792-795	for	_	
4-21	796-798	an	_	
4-22	799-802	App	_	
4-23	802-803	.	_	

#Text=Youll have the opportunity to work on a myriad of projects, many of them starting from scratch.
5-1	804-809	Youll	_	
5-2	810-814	have	_	
5-3	815-818	the	_	
5-4	819-830	opportunity	_	
5-5	831-833	to	_	
5-6	834-838	work	_	
5-7	839-841	on	_	
5-8	842-843	a	_	
5-9	844-850	myriad	_	
5-10	851-853	of	_	
5-11	854-862	projects	_	
5-12	862-863	,	_	
5-13	864-868	many	_	
5-14	869-871	of	_	
5-15	872-876	them	_	
5-16	877-885	starting	_	
5-17	886-890	from	_	
5-18	891-898	scratch	_	
5-19	898-899	.	_	

#Text=Every project is different and presents a new set of technical challenges.
6-1	900-905	Every	_	
6-2	906-913	project	_	
6-3	914-916	is	_	
6-4	917-926	different	_	
6-5	927-930	and	_	
6-6	931-939	presents	_	
6-7	940-941	a	_	
6-8	942-945	new	_	
6-9	946-949	set	_	
6-10	950-952	of	_	
6-11	953-962	technical	_	
6-12	963-973	challenges	_	
6-13	973-974	.	_	

#Text=To solve these problems youll be working with a full team of experienced designers, engineers, project managers and QA professionals in a highly collaborative environment.
7-1	975-977	To	_	
7-2	978-983	solve	_	
7-3	984-989	these	_	
7-4	990-998	problems	_	
7-5	999-1004	youll	_	
7-6	1005-1007	be	_	
7-7	1008-1015	working	_	
7-8	1016-1020	with	_	
7-9	1021-1022	a	_	
7-10	1023-1027	full	_	
7-11	1028-1032	team	_	
7-12	1033-1035	of	_	
7-13	1036-1047	experienced	_	
7-14	1048-1057	designers	_	
7-15	1057-1058	,	_	
7-16	1059-1068	engineers	_	
7-17	1068-1069	,	_	
7-18	1070-1077	project	_	
7-19	1078-1086	managers	_	
7-20	1087-1090	and	_	
7-21	1091-1093	QA	_	
7-22	1094-1107	professionals	_	
7-23	1108-1110	in	_	
7-24	1111-1112	a	_	
7-25	1113-1119	highly	_	
7-26	1120-1133	collaborative	Soft Skill	
7-27	1134-1145	environment	_	
7-28	1145-1146	.	_	

