#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|label


#Text=Job Description: 8+ years of combined software/application development experience in Objective-C, C++, Swift.
1-1	0-3	Job	_	
1-2	4-15	Description	_	
1-3	15-16	:	_	
1-4	17-18	8	_	
1-5	18-19	+	_	
1-6	20-25	years	_	
1-7	26-28	of	_	
1-8	29-37	combined	_	
1-9	38-46	software	_	
1-10	46-47	/	_	
1-11	47-58	application	_	
1-12	59-70	development	_	
1-13	71-81	experience	_	
1-14	82-84	in	_	
1-15	85-96	Objective-C	_	
1-16	96-97	,	_	
1-17	98-99	C	Hard Skill	
1-18	99-100	+	_	
1-19	100-101	+	_	
1-20	101-102	,	_	
1-21	103-108	Swift	Hard Skill	
1-22	108-109	.	_	

#Text=Created an application that is available in Apple's AppStore...
2-1	110-117	Created	_	
2-2	118-120	an	_	
2-3	121-132	application	_	
2-4	133-137	that	_	
2-5	138-140	is	_	
2-6	141-150	available	_	
2-7	151-153	in	_	
2-8	154-161	Apple's	_	
2-9	162-170	AppStore	_	
2-10	170-171	.	_	
2-11	171-172	.	_	
2-12	172-173	.	_	

#Text=Proficiency with Linux, Mac OS X, GNU tools, and scripting languages Experience with all phases of the development life cycle Experience with the following is desired: Familiarity with Agile development including daily scrum and weekly iteration reviews and planning Enthusiasm for automated testing Experience with unit testing frameworks Experience with source control management 8+ years of combined software/application development experience in Objective-C, C++, Swift Created an application that is available in Apple's AppStore Proficiency with Linux, Mac OS X, GNU tools, and scripting languages Experience with all phases of the development life cycle Experience with unit testing frameworks Experience with source control management
3-1	174-185	Proficiency	_	
3-2	186-190	with	_	
3-3	191-196	Linux	Hard Skill	
3-4	196-197	,	_	
3-5	198-201	Mac	_	
3-6	202-204	OS	_	
3-7	205-206	X	_	
3-8	206-207	,	_	
3-9	208-211	GNU	_	
3-10	212-217	tools	_	
3-11	217-218	,	_	
3-12	219-222	and	_	
3-13	223-232	scripting	_	
3-14	233-242	languages	_	
3-15	243-253	Experience	_	
3-16	254-258	with	_	
3-17	259-262	all	_	
3-18	263-269	phases	_	
3-19	270-272	of	_	
3-20	273-276	the	_	
3-21	277-288	development	_	
3-22	289-293	life	_	
3-23	294-299	cycle	_	
3-24	300-310	Experience	_	
3-25	311-315	with	_	
3-26	316-319	the	_	
3-27	320-329	following	_	
3-28	330-332	is	_	
3-29	333-340	desired	_	
3-30	340-341	:	_	
3-31	342-353	Familiarity	_	
3-32	354-358	with	_	
3-33	359-364	Agile	_	
3-34	365-376	development	_	
3-35	377-386	including	_	
3-36	387-392	daily	_	
3-37	393-398	scrum	_	
3-38	399-402	and	_	
3-39	403-409	weekly	_	
3-40	410-419	iteration	_	
3-41	420-427	reviews	_	
3-42	428-431	and	_	
3-43	432-440	planning	_	
3-44	441-451	Enthusiasm	_	
3-45	452-455	for	_	
3-46	456-465	automated	_	
3-47	466-473	testing	_	
3-48	474-484	Experience	_	
3-49	485-489	with	_	
3-50	490-494	unit	_	
3-51	495-502	testing	_	
3-52	503-513	frameworks	_	
3-53	514-524	Experience	_	
3-54	525-529	with	_	
3-55	530-536	source	_	
3-56	537-544	control	_	
3-57	545-555	management	_	
3-58	556-557	8	_	
3-59	557-558	+	_	
3-60	559-564	years	_	
3-61	565-567	of	_	
3-62	568-576	combined	_	
3-63	577-585	software	_	
3-64	585-586	/	_	
3-65	586-597	application	_	
3-66	598-609	development	_	
3-67	610-620	experience	_	
3-68	621-623	in	_	
3-69	624-635	Objective-C	_	
3-70	635-636	,	_	
3-71	637-638	C	Hard Skill	
3-72	638-639	+	_	
3-73	639-640	+	_	
3-74	640-641	,	_	
3-75	642-647	Swift	Hard Skill	
3-76	648-655	Created	_	
3-77	656-658	an	_	
3-78	659-670	application	_	
3-79	671-675	that	_	
3-80	676-678	is	_	
3-81	679-688	available	_	
3-82	689-691	in	_	
3-83	692-699	Apple's	_	
3-84	700-708	AppStore	_	
3-85	709-720	Proficiency	_	
3-86	721-725	with	_	
3-87	726-731	Linux	Hard Skill	
3-88	731-732	,	_	
3-89	733-736	Mac	_	
3-90	737-739	OS	_	
3-91	740-741	X	_	
3-92	741-742	,	_	
3-93	743-746	GNU	_	
3-94	747-752	tools	_	
3-95	752-753	,	_	
3-96	754-757	and	_	
3-97	758-767	scripting	_	
3-98	768-777	languages	_	
3-99	778-788	Experience	_	
3-100	789-793	with	_	
3-101	794-797	all	_	
3-102	798-804	phases	_	
3-103	805-807	of	_	
3-104	808-811	the	_	
3-105	812-823	development	_	
3-106	824-828	life	_	
3-107	829-834	cycle	_	
3-108	835-845	Experience	_	
3-109	846-850	with	_	
3-110	851-855	unit	_	
3-111	856-863	testing	_	
3-112	864-874	frameworks	_	
3-113	875-885	Experience	_	
3-114	886-890	with	_	
3-115	891-897	source	_	
3-116	898-905	control	_	
3-117	906-916	management	_	
